"anho","semana","idprovincia","Incendios","Observed","Predicted","Dicot1","Dicot2","Dicot3","Dicot4"
"2015","30","36",21,0.47,34.463396704616,0,0,0,0
"2015","30","37",5,1.252,58.712970098779,0,0,0,0
"2015","30","40",1,0.72,2.63213435649569,0,0,0,0
"2015","30","41",4,9.8425,33.3494961823819,0,0,0,0
"2015","30","42",0,0,0,0,0,0,0
"2015","30","43",2,0.725,75.8331152303212,0,0,0,0
"2015","30","44",0,0,0,0,0,0,0
"2015","30","45",10,3.498,74.1990460528294,0,0,1,1
"2015","30","46",1,0.6,19.0267143609659,0,0,0,0
"2015","30","47",2,0.2,22.5899894584122,0,0,0,0
"2015","30","49",4,226.0925,22.2815701607248,0,0,0,0
"2015","30","50",0,0,0,0,0,0,0
"2015","31","2",1,0.5,3.07629144901413,0,0,0,0
"2015","31","3",2,3.1,1.4533120103291,0,0,0,0
"2015","31","4",0,0,0,0,0,0,0
"2015","31","5",5,3.432,392.649100112778,0,0,0,0
"2015","31","6",11,6.31454545454545,146.41713563816,0,1,1,1
"2015","31","8",1,0.24,0.924562080565281,0,0,0,0
"2015","31","9",3,0.5,34.6878437991922,0,0,0,0
"2015","31","10",15,19.7106666666667,212.442038297377,0,1,1,1
"2015","31","11",5,0.684,24.9807666661679,0,0,0,0
"2015","31","12",2,0.175,0.866543891718562,0,0,0,0
"2015","31","13",2,1.685,7.79900463000546,0,0,0,0
"2015","31","14",6,7.91333333333333,38.5514834825748,0,0,0,0
"2015","31","15",19,1.78105263157895,39.5533027743072,0,0,0,0
"2015","31","16",4,0.9525,40.1058857667947,0,0,0,0
"2015","31","17",0,0,0,0,0,0,0
"2015","31","18",4,0.525,39.7750248499037,0,0,0,0
"2015","31","19",8,6.4225,547.414115934599,0,0,0,0
"2015","31","21",6,5.70833333333333,41.8294885928494,0,0,0,0
"2015","31","22",0,0,0,0,0,0,0
"2015","31","23",6,0.59,32.8322969786773,0,0,0,0
"2015","31","24",12,18.895,124.235985237921,0,0,0,0
"2015","31","25",0,0,0,0,0,0,0
"2015","31","26",1,0.3,2.25875874882986,0,0,0,0
"2015","31","27",19,4.10105263157895,64.2970495091801,0,0,0,0
"2015","31","29",2,0.35,11.2471233221717,0,0,0,0
"2015","31","30",2,3.355,5.4524290328328,0,0,0,0
"2015","31","32",33,15.6927272727273,239.97807923861,0,1,1,1
"2015","31","33",24,44.2795833333333,83.2028807196329,0,0,0,0
"2015","31","34",4,4.4925,26.0171790699224,0,0,0,0
"2015","31","36",17,3.51235294117647,15.1436977769734,0,0,0,0
"2015","31","37",11,4.58909090909091,99.5466926687345,0,0,0,0
"2015","31","40",3,7.60333333333333,17.164155738664,0,0,0,0
"2015","31","41",7,13.9814285714286,75.8625630228332,0,0,0,1
"2015","31","42",3,192.446666666667,10.4208729159926,0,0,0,0
"2015","31","43",0,0,0,0,0,0,0
"2015","31","44",0,0,0,0,0,0,0
"2015","31","45",8,13.04375,117.784509552679,0,0,0,1
"2015","31","46",1,0.23,12.4110308371329,0,0,0,0
"2015","31","47",1,0.15,15.5738054491994,0,0,0,0
"2015","31","49",1,4.96,49.2569034991058,0,0,0,0
"2015","31","50",0,0,0,0,0,0,0
"2015","32","2",2,1.55,1.67016813592878,0,0,0,0
"2015","32","3",2,2.175,47.3740695780387,0,0,0,0
"2015","32","4",1,1.76,2.18113281412412,0,0,0,0
"2015","32","5",2,16.45,19.5954373331148,0,0,0,0
"2015","32","6",6,7.30166666666667,92.4000962196236,0,0,0,0
"2015","32","8",1,0.35,0.835982407571433,0,0,0,0
"2015","32","9",3,17.9,29.3185384786138,0,0,0,0
"2015","32","10",18,440.549444444444,167.36501280092,1,1,1,1
"2015","32","11",1,0.41,7.37048331470644,0,0,0,0
"2015","32","12",0,0,0,0,0,0,0
"2015","32","13",3,99.5466666666667,44.5333361420779,0,0,0,0
"2015","32","14",2,2.055,6.28187821623307,0,0,0,0
"2015","32","15",27,23.9266666666667,97.1369624690188,0,0,0,1
"2015","32","16",3,1.96,29.9299798912132,0,0,0,0
"2015","32","17",2,0.925,43.6694835319175,0,0,0,0
"2015","32","18",4,0.315,8.92847961975959,0,0,0,0
"2015","32","19",2,1.025,109.106757474751,0,0,0,0
"2015","32","21",1,1.6,13.3274559466884,0,0,0,0
"2015","32","22",0,0,0,0,0,0,0
"2015","32","23",7,0.987142857142857,16.8332334329269,0,0,0,0
"2015","32","24",15,18.0706666666667,187.558637508697,0,0,0,1
"2015","32","25",1,6.5,1.56157895141846,0,0,0,0
"2015","32","26",1,0.2,0.68028288622226,0,0,0,0
"2015","32","27",22,2.14409090909091,156.077711855285,0,0,0,0
"2015","32","29",1,0.13,13.114098975974,0,0,0,0
"2015","32","30",5,106.982,5.00769782003229,0,0,0,0
"2015","32","32",63,3.52444444444444,2702.18601051699,1,1,1,1
"2015","32","33",13,3.79538461538462,31.8153900311902,0,0,0,0
"2015","32","34",1,15.72,30.2397129488946,0,0,0,0
"2015","32","36",47,1.50787234042553,151.54084558434,1,1,1,1
"2015","32","37",6,2.52166666666667,86.8707091069533,0,0,0,0
"2015","32","40",3,4.75666666666667,146.274359588296,0,0,0,0
"2015","32","41",4,18.595,45.8009787751727,0,0,0,0
