"anho","semana","id_provincia","provincia","personal_tecnicos","personal_brigadas","personal_fuerzas_orden","personal_otros","medios_autobomba","medios_bulldozer","medios_tractores","medios_otros","aereos_aviones_anfibios","aereos_aviones_carga","aereos_helicopteros_exticion","aereos_helicopteros_transporte","total","totalar","totalnar","supernf","num_incendios","dist_1_nearest_buildup","dist_10_nearest_buildup","dir","prec","sol","tmax","tmed","tmin","velmedia","hrmedia","domain"
2007,28,2,"ALBACETE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07,0,12.81,32.27,24.23,16.2,3.74,40,"28:2"
2007,28,3,"ALICANTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,0.03,9.68,28.41,23.59,18.75,3.21,59,"28:3"
2007,28,4,"ALMERIA",8,35,2.5,0,3.5,0,0,1,0,1,0,2.5,23.28,0,23.28,0,2,2023.44,4663.14,12.6,0,11.63,30.38,25.86,21.33,3.9,49,"28:4"
2007,28,5,"AVILA",4.5,29,2,102,1.5,0,0.5,0,0,0,0,2,22.15,0,21.65,0.5,2,2221.35,5676.96,18.69,0,12.1,28.68,20.86,13.03,2.63,41,"28:5"
2007,28,6,"BADAJOZ",2.02,9.58,1.66,5.06,1.65,0.14,0.8,0.1,0.33,0,0.08,0.37,627.64,2,535.49,90.15,21,2179.32,4714.87,21.92,0.03,13.44,34.73,26.29,17.85,2.71,35,"28:6"
2007,28,8,"BARCELONA",3.67,153.33,7.67,61.5,18,0,12.83,0.5,0.33,2.33,3.5,0,158.63,75.77,5.37,77.49,6,914.37,2128.41,18.51,0,9.84,26.14,22.14,18.13,3.62,62,"28:8"
2007,28,9,"BURGOS",3.25,22,2.5,11,3,0.5,2,0,0,1,3,1.5,29.56,2.32,1.07,26.17,3,596.37,2359.77,14.33,0.15,11.63,27.56,18.11,8.8,3.54,50.5,"28:9"
2007,28,10,"CACERES",3.34,20.68,3.36,13.45,2.41,0.29,1.46,0,0.43,0,0,1.14,647.15,55.6,590.55,1,19,2610.03,4912.18,19.74,0,13.71,33.74,25.72,17.68,2.61,32,"28:10"
2007,28,11,"CADIZ",2.4,22,1.4,0,2,0,0,0,0,0,0.2,0.4,11.43,8.94,2.49,0,5,1349,2332.39,16.21,0,12.81,30.9,25.33,19.74,4.82,61,"28:11"
2007,28,12,"CASTELLON",8,17.67,3.67,2.67,3,0,0,0,0.33,2,0,1,3.1,0,3.1,0,3,1476.9,5173.22,18.86,0,11.99,28.78,23.56,18.37,3.75,58,"28:12"
