"anho"|"semana"|"id_provincia"|"provincia"|"personal_tecnicos"|"personal_brigadas"|"personal_fuerzas_orden"|"personal_otros"|"medios_autobomba"|"medios_bulldozer"|"medios_tractores"|"medios_otros"|"aereos_aviones_anfibios"|"aereos_aviones_carga"|"aereos_helicopteros_exticion"|"aereos_helicopteros_transporte"|"total"|"totalar"|"totalnar"|"supernf"|"num_incendios"|"dist_1_nearest_buildup"|"dist_10_nearest_buildup"
2007|2|33|"ASTURIAS"|0.03|4.84|0.02|0.14|0.38|0.0|0.0|0.8|0.0|0.0|0.0|0.36|53.65|10.5|43.15|0|28|898.57|2087.92
2007|2|34|"PALENCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|36|"PONTEVEDRA"|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4|0.0|0.4|0|1|116.04|1512.12
2007|2|37|"SALAMANCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|40|"SEGOVIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|41|"SEVILLA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|42|"SORIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|43|"TARRAGONA"|3.0|6.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.33|0.33|0.0|0|1|3735.21|5107.54
2007|2|44|"TERUEL"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|45|"TOLEDO"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|46|"VALENCIA"|1.0|23.0|5.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0|1|2655.35|3525.87
2007|2|47|"VALLADOLID"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|49|"ZAMORA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|2|50|"ZARAGOZA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|2|"ALBACETE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|3|"ALICANTE"|1.0|26.0|2.0|1.0|3.0|0.0|0.0|0.0|0.0|1.0|0.0|2.0|1.5|0.0|1.5|0|1|296.16|1701.42
2007|3|4|"ALMERIA"|3.0|7.0|0.0|4.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.25|0|1|2056.89|2540.12
2007|3|5|"AVILA"|4.0|0.0|3.0|7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.65|0.0|0.65|0|1|2120.97|3622.45
2007|3|6|"BADAJOZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|8|"BARCELONA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|9|"BURGOS"|1.0|0.0|2.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.5|0|1|3954.07|6312.33
2007|3|10|"CACERES"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|11|"CADIZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|12|"CASTELLON"|1.0|9.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.2|0.0|0|1|244.86|696.88
2007|3|13|"CIUDAD REAL"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|14|"CORDOBA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|15|"A CORUÑA"|1.0|11.0|2.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3|0.0|0.3|0|1|457.89|975.5
2007|3|16|"CUENCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|17|"GIRONA"|1.0|7.5|2.0|0.5|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.42|0.22|0.05|0.15|2|194.82|616.77
2007|3|18|"GRANADA"|1.5|0.0|3.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.29|0.14|0.15|0|2|744.18|2987.55
2007|3|19|"GUADALAJARA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|21|"HUELVA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|22|"HUESCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|23|"JAEN"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|24|"LEON"|0.67|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.53|0.0|10.53|0|3|1168.97|2442.56
2007|3|25|"LLEIDA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|26|"LA RIOJA"|3.5|7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.18|0.0|1.18|0|2|2395.94|5320.91
2007|3|27|"LUGO"|2.0|3.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.6|0.8|0.8|0|1|658.93|1268.85
2007|3|29|"MALAGA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|30|"MURCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|32|"OURENSE"|1.0|4.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15|0.0|0.15|0|1|852.84|1266.48
2007|3|33|"ASTURIAS"|0.2|7.3|0.03|0.06|0.73|0.0|0.0|1.09|0.0|0.0|0.0|0.25|112.4|2.11|110.29|0|36|793.94|1699.42
2007|3|34|"PALENCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|36|"PONTEVEDRA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|37|"SALAMANCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|40|"SEGOVIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|41|"SEVILLA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|42|"SORIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|43|"TARRAGONA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|44|"TERUEL"|2.0|8.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.27|0.0|3.27|0|1|1635.34|3384.99
2007|3|45|"TOLEDO"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|46|"VALENCIA"|1.0|5.0|2.0|2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15|0.0|0.15|0|1|123.07|985.22
2007|3|47|"VALLADOLID"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|3|49|"ZAMORA"|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.8|0.0|8.8|0|6|1987.64|4532.24
2007|3|50|"ZARAGOZA"|1.0|3.5|3.0|0.5|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6|0.39|0.21|0|2|659.58|1503.02
2007|4|2|"ALBACETE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|3|"ALICANTE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|4|"ALMERIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|5|"AVILA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|6|"BADAJOZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|8|"BARCELONA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|9|"BURGOS"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|10|"CACERES"|1.0|2.5|1.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6|0.0|0.6|0|2|1081.62|3097.53
2007|4|11|"CADIZ"|1.0|5.0|0.0|12.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.13|0.0|0.13|0|1|3106.92|8869.15
2007|4|12|"CASTELLON"|1.25|7.5|1.0|1.5|1.5|0.0|0.0|1.5|0.0|0.25|0.0|0.25|0.82|0.3|0.52|0|3|1277.85|3367.94
2007|4|13|"CIUDAD REAL"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|14|"CORDOBA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
